Month	Bananas, per lb.	Oranges, Navel, per lb.	Bread, white, pan, per lb.	Tomatoes, field grown, per lb.	Chicken, fresh, whole, per lb.	Electricity per KWH	Eggs, grade A, large, per doz.	Gasoline, unleaded regular, per gallon	Ground chuck, 100% beef, per lb.	Utility (piped) gas per therm	Milk, fresh, whole, fortified, per gal.
10/01/03	0.49	1.141	0.969	1.436	1.022	0.093	1.33	1.603	2.35	0.966	2.905
11/01/03	0.498	0.971	0.953	1.48	1.068	0.09	1.448	1.535	2.491	0.978	2.937
12/01/03	0.504	0.862	0.954	1.533	1.05	0.09	1.559	1.494	2.621	0.991	2.947
01/01/04	0.512	0.793	0.946	1.472	1.062	0.091	1.573	1.592	2.585	1.029	2.879
02/01/04	0.504	0.725	0.943	1.51	1.06	0.091	1.583	1.672	2.558	1.021	2.814
03/01/04	0.5	0.73	0.947	1.529	1.1	0.091	1.625	1.766	2.473	0.992	2.786
04/01/04	0.505	0.744	0.974	1.519	1.12	0.091	1.562	1.833	2.486	0.998	2.906
05/01/04	0.491	0.77	0.96	1.51	1.039	0.093	1.372	2.009	2.522	1.006	3.374
06/01/04	0.498	0.878	0.979	1.331	1.06	0.099	1.311	2.041	2.485	1.047	3.574
07/01/04	0.51		0.985	1.253	1.077	0.099	1.253	1.939	2.462	1.058	3.479
08/01/04	0.507		0.996	1.312	1.092	0.1	1.277	1.898	2.537	1.063	3.297
09/01/04	0.488	1.142	0.985	1.321	1.078	0.099	1.145	1.891	2.512	1.034	3.149
10/01/04	0.485		0.972	1.715	1.078	0.094	1.089	2.029	2.484	1.044	3.161
11/01/04	0.469	1.08	0.976	2.337	1.039	0.092	1.085	2.01	2.461	1.145	3.219
12/01/04	0.474	0.865	0.97	2.467	1.03	0.092	1.199	1.882	2.465	1.154	3.233
01/01/05	0.485	0.838	0.997	1.66	1.026	0.094	1.211	1.823	2.478	1.142	3.304
02/01/05	0.502	0.802	0.982	1.428	1.038	0.094	1.284	1.918	2.531	1.111	3.176
03/01/05	0.507	0.783	1.002	1.548	1.061	0.094	1.132	2.065	2.519	1.096	3.226
04/01/05	0.503	0.816	1.004	1.71	1.07	0.095	1.164	2.283	2.504	1.158	3.225
05/01/05	0.497	0.899	1.086	1.911	1.052	0.097	1.185	2.216	2.572	1.152	3.207
06/01/05	0.493	1.012	1.09	1.655	1.075	0.104	1.139	2.176	2.542	1.124	3.122
07/01/05	0.494		1.067	1.607	1.067	0.105	1.165	2.316	2.541	1.168	3.09
08/01/05	0.487		1.06	1.416	1.042	0.105	1.166	2.506	2.502	1.189	3.136
09/01/05	0.485	1.363	1.052	1.429	1.056	0.106	1.279	2.927	2.535	1.324	3.133
10/01/05	0.491	1.388	1.043	1.547	1.062	0.102	1.264	2.785	2.564	1.512	3.171
11/01/05	0.48	1.172	1.055	1.574	1.059	0.102	1.279	2.343	2.568	1.548	3.211
12/01/05	0.482	0.885	1.046	1.848	1.061	0.102	1.35	2.186	2.606	1.498	3.241
01/01/06	0.49	0.837	1.046	2.162	1.062	0.108	1.449	2.315	2.607	1.531	3.197
02/01/06	0.508	0.915	1.029	1.91	1.045	0.108	1.328	2.31	2.556	1.402	3.224
03/01/06	0.508	0.888	1.04	1.649	1.047	0.109	1.302	2.401	2.568	1.335	3.161
04/01/06	0.508	0.876	1.072	1.573	1.054	0.109	1.283	2.757	2.599	1.278	3.123
05/01/06	0.514	0.99	1.086	1.543	1.034	0.11	1.206	2.947	2.508	1.263	3.066
06/01/06	0.511	1.119	1.074	1.457	1.055	0.118	1.242	2.917	2.543	1.21	3.001
07/01/06	0.508	1.27	1.071	1.479	1.04	0.118	1.213	2.999	2.459	1.213	3.083
08/01/06	0.492		1.088	1.488	1.048	0.118	1.244	2.985	2.543	1.22	3.019
09/01/06	0.479	1.483	1.083	1.908	1.063	0.118	1.254	2.589	2.508	1.239	3.049
10/01/06	0.489	1.423	1.097	2.188	1.038	0.112	1.257	2.272	2.542	1.148	3.064
11/01/06	0.498	1.2	1.143	1.784	1.049	0.11	1.354	2.241	2.564	1.252	2.985
12/01/06	0.499	0.958	1.137	1.639	1.057	0.11	1.543	2.334	2.606	1.285	3.004
01/01/07	0.505	1.092	1.153	1.621	1.033	0.113	1.549	2.274	2.63	1.265	3.067
02/01/07	0.507	1.375	1.168	1.644	1.039	0.113	1.746	2.285	2.639	1.267	3.083
03/01/07	0.51	1.301	1.161	1.555	1.064	0.113	1.634	2.592	2.628	1.291	3.072
04/01/07	0.517	1.243	1.201	1.63	1.115	0.113	1.616	2.86	2.676	1.284	3.135
05/01/07	0.503	1.268	1.192	1.685	1.118	0.115	1.504	3.13	2.766	1.288	3.259
06/01/07	0.512	1.321	1.193	1.51	1.134	0.122	1.373	3.052	2.739	1.299	3.427
07/01/07	0.509		1.209	1.486	1.13	0.122	1.502	2.961	2.734	1.279	3.736
08/01/07	0.506	1.5	1.21	1.485	1.145	0.121	1.634	2.782	2.695	1.226	3.807
09/01/07	0.505	1.503	1.212	1.496	1.142	0.121	1.825	2.789	2.744	1.207	3.841
10/01/07	0.508	1.542	1.274	1.649	1.135	0.117	1.771	2.793	2.705	1.219	3.838
11/01/07	0.515	1.079	1.235	1.851	1.161	0.115	1.862	3.069	2.738	1.273	3.904
12/01/07	0.525	0.905	1.28	2.147	1.166	0.115	2.099	3.02	2.702	1.281	3.87
01/01/08	0.521	0.905	1.281	2.032	1.163	0.116	2.175	3.047	2.725	1.278	3.871
02/01/08	0.54	0.887	1.321	1.735	1.159	0.116	2.168	3.033	2.791	1.31	3.869
03/01/08	0.597	0.898	1.35	1.835	1.168	0.116	2.203	3.258	2.832	1.358	3.781
04/01/08	0.627	0.931	1.373	1.773	1.176	0.118	2.069	3.441	2.829	1.427	3.799
05/01/08	0.63	1.008	1.37	1.675	1.194	0.12	1.93	3.764	2.798	1.505	3.76
06/01/08	0.633	1.136	1.373	1.814	1.181	0.128	1.92	4.065	2.835	1.578	3.773
07/01/08	0.627	1.291	1.384	1.713	1.191	0.131	2.011	4.09	2.785	1.703	3.961
08/01/08	0.634	1.452	1.381	1.694	1.223	0.132	1.854	3.786	2.964	1.596	3.886
09/01/08	0.631	1.471	1.379	1.591	1.214	0.13	1.978	3.698	2.981	1.448	3.773
10/01/08	0.629	1.428	1.393	1.611	1.205	0.126	1.858	3.173	2.956	1.395	3.656
11/01/08	0.626	1.055	1.377	1.722	1.304	0.123	1.838	2.151	2.987	1.372	3.734
12/01/08	0.617	0.934	1.415	1.734	1.305	0.124	1.834	1.689	2.999	1.355	3.681
01/01/09	0.629	0.896	1.381	1.661	1.292	0.126	1.85	1.787	2.961	1.321	3.575
02/01/09	0.641	0.912	1.404	1.556	1.29	0.126	1.795	1.928	3.019	1.268	3.319
03/01/09	0.634	0.889	1.41	1.511	1.301	0.126	1.693	1.949	2.976	1.208	3.116
04/01/09	0.629	0.91	1.395	1.591	1.296	0.125	1.774	2.056	2.994	1.119	3.084
05/01/09	0.622	0.963	1.413	1.584	1.304	0.126	1.501	2.265	2.876	1.051	3.068
06/01/09	0.617	1.06	1.385	1.604	1.282	0.132	1.529	2.631	2.873	1.06	3.009
07/01/09	0.616	1.191	1.391	1.618	1.261	0.131	1.495	2.543	2.8	1.074	2.992
08/01/09	0.611	1.222	1.375	1.528	1.287	0.13	1.632	2.627	2.843	1.058	2.979
09/01/09	0.605	1.255	1.34	1.538	1.258	0.13	1.627	2.574	2.782	1.028	2.981
10/01/09	0.598	1.262	1.392	1.595	1.244	0.126	1.595	2.561	2.785	1.048	3.046
11/01/09	0.561	1.113	1.373	1.726	1.256	0.124	1.705	2.66	2.797	1.11	3.034
12/01/09	0.571	0.932	1.39	1.961	1.267	0.124	1.772	2.621	2.828	1.105	3.105
01/01/10	0.586	0.899	1.36	1.837	1.265	0.124	1.789	2.731	2.825	1.155	3.236
02/01/10	0.587	0.87	1.361	1.765	1.265	0.123	1.872	2.659	2.881	1.161	3.203
03/01/10	0.575	0.858	1.368	2.007	1.231	0.125	1.822	2.78	2.824	1.137	3.188
04/01/10	0.58	0.871	1.363	2.132	1.23	0.126	1.779	2.858	2.89	1.091	3.14
05/01/10	0.571	0.952	1.359	1.918	1.259	0.127	1.523	2.869	2.921	1.08	3.178
06/01/10	0.577	1.096	1.383	1.586	1.239	0.132	1.494	2.736	2.965	1.084	3.297
07/01/10	0.583	1.149	1.36	1.544	1.28	0.133	1.441	2.736	2.936	1.111	3.313
08/01/10	0.576	1.242	1.372	1.405	1.254	0.133	1.519	2.745	2.849	1.102	3.303
09/01/10	0.573	1.302	1.386	1.503	1.276	0.132	1.753	2.704	2.915	1.062	3.278
10/01/10	0.58	1.281	1.407	1.502	1.302	0.127	1.456	2.795	2.978	1.069	3.321
11/01/10	0.581	1.2	1.375	1.519	1.277	0.125	1.675	2.852	2.949	1.059	3.327
12/01/10	0.587	1.021	1.386	1.591	1.28	0.125	1.793	2.985	2.932	1.078	3.318
01/01/11	0.596	1.052	1.401	1.59	1.241	0.125	1.806	3.091	2.991	1.085	3.301
02/01/11	0.625	0.989	1.398	1.832	1.266	0.125	1.708	3.167	3.058	1.095	3.357
03/01/11	0.621	0.957	1.415	2.086	1.269	0.127	1.732	3.546	3.151	1.077	3.503
04/01/11	0.621	0.926	1.42	2.27	1.261	0.127	1.727	3.816	3.25	1.078	3.597
05/01/11	0.617	0.916	1.472	1.794	1.302	0.129	1.692	3.933	3.277	1.068	3.653
06/01/11	0.614	1.014	1.49	1.559	1.305	0.134	1.683	3.702	3.211	1.077	3.622
07/01/11	0.611	1.078	1.513	1.442	1.306	0.135	1.647	3.654	3.272	1.078	3.654
08/01/11	0.606	1.268	1.474	1.42	1.296	0.135	1.711	3.63	3.231	1.079	3.713
09/01/11	0.607	1.438	1.477	1.503	1.294	0.135	1.947	3.612	3.105	1.063	3.715
10/01/11	0.607	1.386	1.457	1.465	1.312	0.13	1.871	3.468	3.218	1.047	3.622
11/01/11	0.598	1.142	1.399	1.516	1.304	0.128	1.836	3.423	3.197	1.044	3.557
12/01/11	0.599	0.983	1.42	1.531	1.34	0.127	1.874	3.278	3.265	1.034	3.565
01/01/12	0.604	0.929	1.423	1.542	1.334	0.128	1.939	3.399	3.292	1.021	3.583
02/01/12	0.603	0.852	1.442	1.433	1.356	0.128	1.798	3.572	3.294	0.986	3.52
03/01/12	0.607	0.85	1.395	1.452	1.372	0.127	1.774	3.868	3.366	0.978	3.499
04/01/12	0.603	0.91	1.426	1.388	1.401	0.127	1.829	3.927	3.327	0.951	3.474
05/01/12	0.599	0.968	1.412	1.336	1.347	0.129	1.691	3.792	3.379	0.907	3.427
06/01/12	0.605	1.032	1.403	1.492	1.39	0.135	1.67	3.552	3.448	0.927	3.396
07/01/12	0.604	1.127	1.427	1.506	1.454	0.133	1.648	3.451	3.449	0.943	3.428
08/01/12	0.595	1.283	1.407	1.44	1.433	0.133	1.884	3.707	3.447	0.96	3.474
09/01/12	0.597	1.296	1.401	1.384	1.455	0.133	1.889	3.856	3.482	0.953	3.469
10/01/12	0.602	1.254	1.422	1.443	1.53	0.128	1.96	3.786	3.514	0.962	3.524
11/01/12	0.6	1.102	1.418	1.469	1.512	0.127	1.963	3.488	3.46	0.994	3.536
12/01/12	0.606	1.035	1.436	1.594	1.482	0.127	2.007	3.331	3.464	1.004	3.58
01/01/13	0.609	0.991	1.422	1.545	1.497	0.129	1.933	3.351	3.406	0.996	3.526
02/01/13	0.611	0.998	1.411	1.497	1.456	0.129	1.965	3.693	3.408	0.997	3.48
03/01/13	0.609	0.988	1.412	1.493	1.471	0.128	1.925	3.735	3.417	0.994	3.431
04/01/13	0.597	0.981	1.409	1.46	1.473	0.128	1.918	3.59	3.479	1.02	3.428
05/01/13	0.603	1.048	1.401	1.454	1.466	0.131	1.87	3.623	3.461	1.036	3.441
06/01/13	0.603	1.147	1.439	1.47	1.509	0.137	1.859	3.633	3.403	1.038	3.458
07/01/13	0.602	1.287	1.434	1.43	1.484	0.137	1.833	3.628	3.423	1.025	3.449
08/01/13	0.595	1.377	1.408	1.509	1.489	0.137	1.838	3.6	3.511	1.003	3.448
09/01/13	0.601	1.334	1.419	1.566	1.528	0.137	1.897	3.556	3.445	1	3.428
10/01/13	0.586	1.328	1.358		1.543	0.132	1.925	3.375	3.492	0.999	3.462
11/01/13	0.587	1.201	1.382	1.7	1.518	0.13	1.925	3.251	3.61	0.999	3.491
12/01/13	0.592	1.129	1.385	1.727	1.52	0.131	2.026	3.277	3.585	0.998	3.501
01/01/14	0.595	1.118	1.365	1.702	1.529	0.134	2.008	3.32	3.586	1.04	3.552
02/01/14	0.599	1.146	1.388	1.672	1.504	0.134	1.998	3.364	3.733	1.078	3.561
03/01/14	0.597	1.212	1.359	1.632	1.544	0.135	2.061	3.532	3.745	1.154	3.669
04/01/14	0.597	1.261	1.388	1.622	1.53	0.131	2.119	3.659	3.886	1.137	3.687
05/01/14	0.603	1.342	1.401	1.629	1.556	0.136	1.996	3.691	3.849	1.111	3.735
06/01/14	0.607	1.299	1.4	1.675	1.503	0.143	1.948	3.695	3.907	1.088	3.626
07/01/14	0.606	1.39	1.413	1.633	1.495	0.143	1.95	3.633	3.917	1.093	3.645
08/01/14	0.608	1.467	1.396	1.544	1.572	0.143	1.979	3.481	4.024	1.06	3.673
09/01/14	0.606	1.486	1.405	1.546	1.543	0.141	1.97	3.403	4.201	1.058	3.732
10/01/14	0.582	1.508	1.414	1.695	1.549	0.136	1.951	3.182	4.294	1.033	3.766
11/01/14	0.592	1.352	1.42	1.948	1.533	0.134	2.032	2.887	4.26	1.035	3.858
12/01/14	0.585	1.246	1.466	2.189	1.541	0.135	2.21	2.56	4.217	1.06	3.82
01/01/15	0.583	1.195	1.479	2.089	1.546	0.138	2.113	2.11	4.375	1.036	3.758
02/01/15	0.591	1.185	1.435	1.849	1.55	0.138	2.088	2.249	4.403	1.007	3.496
03/01/15	0.593	1.201	1.44	1.819	1.545	0.136	2.133	2.483	4.364	0.985	3.463
04/01/15	0.597	1.165	1.454	1.847	1.539	0.137	2.065	2.485	4.323	0.947	3.397
05/01/15	0.582	1.208	1.463	1.74	1.483	0.137	1.962	2.775	4.308	0.93	3.387
06/01/15	0.574	1.274	1.467	1.708	1.515	0.143	2.57	2.832	4.324	0.942	3.366
07/01/15	0.581	1.38	1.447	1.777	1.487	0.142	2.57	2.832	4.266	0.933	3.43
08/01/15	0.58	1.493	1.42	1.737	1.428	0.142	2.943	2.679	4.222	0.932	3.389
09/01/15	0.58	1.48	1.432	1.775	1.415	0.141	2.966	2.394	4.195	0.921	3.392
10/01/15	0.577	1.514	1.418	1.844	1.43	0.136	2.808	2.289	4.119	0.909	3.338
11/01/15	0.575	1.329	1.409	1.977	1.484	0.134	2.664	2.185	4.082	0.903	3.299
12/01/15	0.58	1.229	1.428	1.932	1.437	0.133	2.751	2.06	4.025	0.892	3.31
01/01/16	0.581	1.196	1.425	2.528	1.429	0.134	2.328	1.967	4.019	0.898	3.313
02/01/16	0.573	1.194	1.407	2.316	1.478	0.134	2.267	1.767	3.945	0.895	3.23
03/01/16	0.586	1.188	1.416	1.941	1.463	0.134	2.081	1.958	3.929	0.884	3.187
04/01/16	0.574	1.176	1.406	1.862	1.496	0.134	1.793	2.134	3.933	0.879	3.155
05/01/16	0.57	1.148	1.382	1.695	1.489	0.133	1.684	2.264	3.902	0.877	3.157
06/01/16	0.569	1.186	1.333	1.709	1.408	0.138	1.491	2.363	3.84	0.891	3.115
07/01/16	0.567	1.268	1.349	1.635	1.445	0.139	1.546	2.225	3.807	0.931	3.062
08/01/16	0.562	1.365	1.341	1.685	1.426	0.139	1.455	2.155	3.912	0.943	3.141
09/01/16	0.575	1.41	1.329	1.786	1.487	0.139	1.471	2.208	3.791	0.954	3.229
10/01/16	0.57	1.412	1.343	1.994	1.502	0.134	1.39	2.243	3.742	0.961	3.292
11/01/16	0.573	1.239	1.362	1.984	1.478	0.131	1.321	2.187	3.703	0.97	3.28
12/01/16	0.576	1.169	1.362	1.972	1.463	0.133	1.383	2.23	3.619	0.972	3.29
01/01/17	0.573	1.186	1.351	2.048	1.418	0.134	1.599	2.351	3.621	1	3.318
02/01/17	0.573	1.191	1.358	1.93	1.473	0.135	1.464	2.299	3.549	1.003	3.3
03/01/17	0.571	1.18	1.329	1.943	1.462	0.134	1.404	2.323	3.59	0.989	3.315
04/01/17	0.571	1.174	1.328	1.902	1.444	0.135	1.409	2.418	3.675	1	3.259
05/01/17	0.564	1.226	1.327	1.867	1.499	0.137	1.414	2.386	3.645	1.036	3.242
06/01/17	0.572	1.346	1.335	1.873	1.497	0.142	1.332	2.337	3.768	1.04	3.213
07/01/17	0.565	1.462	1.327	1.952	1.496	0.143	1.333	2.281	3.866	1.031	3.219
08/01/17	0.561	1.453	1.348	1.846	1.489	0.142	1.367	2.374	3.785	1.027	3.168
09/01/17	0.544	1.48	1.349	1.828	1.48	0.142	1.422	2.63	3.801	1.018	3.209
10/01/17	0.548	1.59	1.328	1.813	1.484	0.137	1.54	2.484	3.703	1.02	3.158
11/01/17	0.551	1.486	1.295	1.933	1.451	0.136	1.506	2.548	3.775	1.028	3.15
12/01/17	0.558	1.315	1.316	2.237	1.47	0.136	1.815	2.459	3.729	1.042	3.155
01/01/18	0.568	1.326	1.281	2.336	1.509	0.135	1.769	2.539	3.668	1.048	2.961
02/01/18	0.574	1.339	1.265	2.026	1.478	0.135	1.755	2.575	3.659	1.077	2.923
03/01/18	0.582	1.305	1.309	1.868	1.502	0.135	1.831	2.572	3.728	1.054	2.903
04/01/18	0.578	1.291	1.281	1.802	1.511	0.134	2.081	2.737	3.775	1.044	2.924
05/01/18	0.575	1.348	1.293	1.675	1.523	0.136	1.987	2.907	3.688	1.05	2.919
06/01/18	0.575	1.409	1.279	1.706	1.514	0.139	1.628	2.914	3.824	1.042	2.877
07/01/18	0.575	1.538	1.293	1.887	1.519	0.139	1.725	2.873	3.786	1.038	2.839
08/01/18	0.569	1.559	1.302	1.737	1.511	0.139	1.622	2.862	3.738	1.055	2.871
09/01/18	0.573	1.511	1.288	1.826	1.487	0.138	1.651	2.873	3.701	1.03	2.89
10/01/18	0.574	1.502	1.277	1.901	1.444	0.136	1.66	2.887	3.692	1.023	2.913
11/01/18	0.566	1.437	1.274	2.057	1.501	0.134	1.596	2.671	3.745	1.02	2.877
12/01/18	0.577	1.389	1.29	2.175	1.466	0.135	1.595	2.414	3.709	1.085	2.853
01/01/19	0.576	1.344	1.274	2.227	1.473	0.135	1.554	2.289	3.727	1.082	2.913
02/01/19	0.571	1.298	1.282	2.068	1.486	0.136	1.557	2.353	3.847	1.051	2.9
03/01/19	0.581	1.346	1.261	2.079	1.468	0.135	1.544	2.564	3.831	1.048	2.944
04/01/19	0.567	1.28	1.285	1.947	1.463	0.135	1.463	2.835	3.907	1.034	2.98
05/01/19	0.579	1.331	1.289	1.823	1.479	0.136	1.362	2.901	4.023	1.035	2.963
06/01/19	0.574	1.296	1.28	1.812	1.59	0.139	1.203	2.752	3.951	1.035	3.054
07/01/19	0.569	1.411	1.281	1.799	1.562	0.14	1.243	2.776	4.001	1.029	3.031
08/01/19	0.578	1.442	1.275	1.864	1.514	0.139	1.219	2.655	4.019	1.034	3.045
09/01/19	0.569	1.426	1.296	1.911	1.487	0.139	1.383	2.63	3.885	1.019	3.102
10/01/19	0.573	1.47	1.325	1.779	1.538	0.136	1.282	2.673	4.027	1.041	3.119
11/01/19	0.573	1.429	1.361	1.903	1.43	0.133	1.405	2.62	3.993	1.058	3.189
12/01/19	0.573	1.327	1.363	1.954	1.45	0.133	1.535	2.587	4.066	1.057	3.188
01/01/20	0.57	1.244	1.351	2.221	1.409	0.134	1.461	2.567	4.1	1.066	3.253
02/01/20	0.574	1.218	1.375	2.197	1.362	0.134	1.449	2.465	4.033	1.05	3.196
03/01/20	0.576	1.174	1.374		1.4	0.134	1.525	2.267	4.108	1.034	3.248
04/01/20	0.581		1.406		1.571	0.133	2.019	1.876	4.343	1.028	3.267
05/01/20	0.589	1.209	1.412	1.851		0.134	1.64	1.879	4.789	1.037	3.21
06/01/20	0.588	1.296	1.474	1.922	1.747	0.137	1.554	2.076	5.33	1.037	3.198
07/01/20	0.58		1.485	1.977	1.712	0.137	1.401	2.176	4.732	1.027	3.255
08/01/20	0.576		1.495	1.874	1.609	0.137	1.328	2.177	4.307	1.031	3.406
09/01/20	0.574		1.492	1.847	1.542	0.137	1.353	2.193	4.165	1.064	3.448
10/01/20	0.577		1.503	1.911	1.58	0.135	1.408	2.159	4.212	1.067	3.38
11/01/20	0.578		1.515	1.935	1.639	0.136	1.45	2.09	4.33	1.104	3.425
12/01/20	0.572	1.329	1.538	1.893	1.621	0.136	1.481	2.168	4.202	1.114	3.535
01/01/21	0.597	1.303	1.546	1.928	1.595	0.136	1.466	2.326	4.31	1.119	3.468
02/01/21	0.59	1.321	1.537	1.838	1.583	0.137	1.597	2.496	4.252	1.124	3.368
03/01/21	0.594	1.266	1.526	1.768	1.543	0.138	1.625	2.791	4.377	1.144	3.348
04/01/21	0.604	1.32	1.51	1.786	1.515	0.139	1.62	2.839	4.29	1.166	3.447
05/01/21	0.6	1.317	1.511	1.804	1.486	0.14	1.625	2.972	4.495	1.201	3.497
06/01/21	0.595	1.354	1.51	1.83	1.474	0.142	1.642	3.154	4.565	1.219	3.557
07/01/21	0.594		1.491	1.827	1.435	0.143	1.642	3.233	4.521	1.241	3.627
08/01/21	0.589		1.467	1.858	1.472	0.144	1.709	3.255	4.636	1.267	3.56
09/01/21	0.597		1.58	1.828	1.504	0.144	1.835	3.265	4.786	1.302	3.585
