State or Territory,District or Representation Type,Family name,Given name,District ,Party ,Office Room ,Phone 
North Carolina,11,Cawthorn,Madison,North Carolina 11th ,R ,102 CHOB ,(202) 225-6401 
Ohio,1,Chabot,Steve,Ohio 1st ,R ,2408 RHOB ,(202) 225-2216 
Wyoming,At Large,Cheney,Liz,Wyoming At Large ,R ,416 CHOB ,(202) 225-2311 
California,27,Chu,Judy,California 27th ,D ,2423 RHOB ,(202) 225-5464 
Rhode Island,1,Cicilline,David,Rhode Island 1st ,D ,2233 RHOB ,(202) 225-4911 
Massachusetts,5,Clark,Katherine,Massachusetts 5th ,D ,2448 RHOB ,(202) 225-2836 
New York,9,Clarke,Yvette D.,New York 9th ,D ,2058 RHOB ,(202) 225-6231 
Missouri,5,Cleaver,Emanuel,Missouri 5th ,D ,2335 RHOB ,(202) 225-4535 
Virginia,6,Cline,Ben,Virginia 6th ,R ,2443 RHOB ,(202) 225-5431 
Texas,27,Cloud,Michael,Texas 27th ,R ,512 CHOB ,(202) 225-7742 
South Carolina,6,Clyburn,James E.,South Carolina 6th ,D ,274 CHOB ,(202) 225-3315 
Georgia,9,Clyde,Andrew S.,Georgia 9th ,R ,521 CHOB ,(202) 225-9893 
Tennessee,9,Cohen,Steve,Tennessee 9th ,D ,2104 RHOB ,(202) 225-3265 
Oklahoma,4,Cole,Tom,Oklahoma 4th ,R ,2207 RHOB ,(202) 225-6165 
Kentucky,1,Comer,James,Kentucky 1st ,R ,2410 RHOB ,(202) 225-3115 
Virginia,11,Connolly,"Gerald E. ""Gerry""",Virginia 11th ,D ,2238 RHOB ,(202) 225-1492 
Tennessee,5,Cooper,Jim,Tennessee 5th ,D ,1536 LHOB ,(202) 225-4311 
California,46,Correa,J. Luis,California 46th ,D ,2301 RHOB ,(202) 225-2965 
California,16,Costa,Jim,California 16th ,D ,2081 RHOB ,(202) 225-3341 
Connecticut,2,Courtney,Joe,Connecticut 2nd ,D ,2449 RHOB ,(202) 225-2076 
Minnesota,2,Craig,Angie,Minnesota 2nd ,D ,2442 RHOB ,(202) 225-2271 
Arkansas,1,Crawford,Rick,Arkansas 1st ,R ,2422 RHOB ,(202) 225-4076 
Texas,2,Crenshaw,Dan,Texas 2nd ,R ,413 CHOB ,(202) 225-6565 
Florida,13,Crist,Charlie,Florida 13th ,D ,215 CHOB ,(202) 225-5961 
Colorado,6,Crow,Jason,Colorado 6th ,D ,1229 LHOB ,(202) 225-7882 
Texas,28,Cuellar,Henry,Texas 28th ,D ,2372 RHOB ,(202) 225-1640 
Utah,3,Curtis,John R.,Utah 3rd ,R ,2400 RHOB ,(202) 225-7751 
Kansas,3,Davids,Sharice,Kansas 3rd ,D ,1541 LHOB ,(202) 225-2865 
Ohio,8,Davidson,Warren,Ohio 8th ,R ,2113 RHOB ,(202) 225-6205 
Illinois,7,Davis,Danny K.,Illinois 7th ,D ,2159 RHOB ,(202) 225-5006 
Illinois,13,Davis,Rodney,Illinois 13th ,R ,2079 RHOB ,(202) 225-2371 
Pennsylvania,4,Dean,Madeleine,Pennsylvania 4th ,D ,120 CHOB ,(202) 225-4731 
Oregon,4,DeFazio,Peter,Oregon 4th ,D ,2134 RHOB ,(202) 225-6416 
Colorado,1,DeGette,Diana,Colorado 1st ,D ,2111 RHOB ,(202) 225-4431 
Connecticut,3,DeLauro,Rosa L.,Connecticut 3rd ,D ,2413 RHOB ,(202) 225-3661 
Washington,1,DelBene,Suzan,Washington 1st ,D ,2330 RHOB ,(202) 225-6311 
New York,19,Delgado,Antonio,New York 19th ,D ,1007 LHOB ,(202) 225-5614 
Florida,10,Demings,Val,Florida 10th ,D ,217 CHOB ,(202) 225-2176 
California,11,DeSaulnier,Mark,California 11th ,D ,503 CHOB ,(202) 225-2095 
Tennessee,4,DesJarlais,Scott,Tennessee 4th ,R ,2304 RHOB ,(202) 225-6831 
Florida,22,Deutch,Ted,Florida 22nd ,D ,2323 RHOB ,(202) 225-3001 
Florida,25,Diaz-Balart,Mario,Florida 25th ,R ,374 CHOB ,(202) 225-4211 
Michigan,12,Dingell,Debbie,Michigan 12th ,D ,116 CHOB ,(202) 225-4071 
Texas,35,Doggett,Lloyd,Texas 35th ,D ,2307 RHOB ,(202) 225-4865 
Florida,19,Donalds,Byron,Florida 19th ,R ,523 CHOB ,(202) 225-2536 
Pennsylvania,18,Doyle,Michael,Pennsylvania 18th ,D ,270 CHOB ,(202) 225-2135 
South Carolina,3,Duncan,Jeff,South Carolina 3rd ,R ,2229 RHOB ,(202) 225-5301 
Florida,2,Dunn,Neal,Florida 2nd ,R ,316 CHOB ,(202) 225-5235 
Texas,6,Ellzey,Jake,Texas 6th ,R ,1725 LHOB ,(202) 225-2002 
Minnesota,6,Emmer,Tom,Minnesota 6th ,R ,315 CHOB ,(202) 225-2331 
Texas,16,Escobar,Veronica,Texas 16th ,D ,1505 LHOB ,(202) 225-4831 
California,18,Eshoo,Anna G.,California 18th ,D ,272 CHOB ,(202) 225-8104 
New York,13,Espaillat,Adriano,New York 13th ,D ,2332 RHOB ,(202) 225-4365 
Kansas,4,Estes,Ron,Kansas 4th ,R ,2411 RHOB ,(202) 225-6216 
Pennsylvania,3,Evans,Dwight,Pennsylvania 3rd ,D ,1105 LHOB ,(202) 225-4001 
Texas,4,Fallon,Pat,Texas 4th ,R ,1118 LHOB ,(202) 225-6673 
Iowa,4,Feenstra,Randy,Iowa 4th ,R ,1440 LHOB ,(202) 225-4426 
Georgia,3,Ferguson,A. Drew,Georgia 3rd ,R ,1032 LHOB ,(202) 225-5901 
Minnesota,7,Fischbach,Michelle,Minnesota 7th ,R ,1237 LHOB ,(202) 225-2165 
Wisconsin,5,Fitzgerald,Scott,Wisconsin 5th ,R ,1507 LHOB ,(202) 225-5101 
Pennsylvania,1,Fitzpatrick,Brian,Pennsylvania 1st ,R ,271 CHOB ,(202) 225-4276 
Tennessee,3,Fleischmann,Chuck,Tennessee 3rd ,R ,462 CHOB ,(202) 225-3271 
Texas,7,Fletcher,Lizzie,Texas 7th ,D ,119 CHOB ,(202) 225-2571 
Nebraska,1,Fortenberry,Jeff,Nebraska 1st ,R ,1514 LHOB ,(202) 225-4806 
Illinois,11,Foster,Bill,Illinois 11th ,D ,2366 RHOB ,(202) 225-3515 
North Carolina,5,Foxx,Virginia,North Carolina 5th ,R ,2462 RHOB ,(202) 225-2071 
Florida,21,Frankel,Lois,Florida 21st ,D ,2305 RHOB ,(202) 225-9890 
Florida,15,Franklin,C. Scott,Florida 15th ,R ,1517 LHOB ,(202) 225-1252 
Ohio,11,Fudge,Marcia L.,Ohio 11th ,- Vacancy ,2344 RHOB ,(202) 225-7032 
Idaho,1,Fulcher,Russ,Idaho 1st ,R ,1520 LHOB ,(202) 225-6611 
Florida,1,Gaetz,Matt,Florida 1st ,R ,1721 LHOB ,(202) 225-4136 
Wisconsin,8,Gallagher,Mike,Wisconsin 8th ,R ,1230 LHOB ,(202) 225-5665 
Arizona,7,Gallego,Ruben,Arizona 7th ,D ,1131 LHOB ,(202) 225-4065 
California,3,Garamendi,John,California 3rd ,D ,2368 RHOB ,(202) 225-1880 
New York,2,Garbarino,Andrew R.,New York 2nd ,R ,1516 LHOB ,(202) 225-7896 
Illinois,4,García,"Jesús ""Chuy""",Illinois 4th ,D ,1519 LHOB ,(202) 225-8203 
California,25,Garcia,Mike,California 25th ,R ,1535 LHOB ,(202) 225-1956 
Texas,29,Garcia,Sylvia,Texas 29th ,D ,1620 LHOB ,(202) 225-1688 
Ohio,7,Gibbs,Bob,Ohio 7th ,R ,2217 RHOB ,(202) 225-6265 
Florida,26,Gimenez,Carlos A.,Florida 26th ,R ,419 CHOB ,(202) 225-2778 
Texas,1,Gohmert,Louie,Texas 1st ,R ,2269 RHOB ,(202) 225-3035 
Maine,2,Golden,Jared,Maine 2nd ,D ,1222 LHOB ,(202) 225-6306 
California,34,Gomez,Jimmy,California 34th ,D ,1530 LHOB ,(202) 225-6235 
Texas,23,Gonzales,Tony,Texas 23rd ,R ,1009 LHOB ,(202) 225-4511 
Puerto Rico,Resident Commissioner,González-Colón,Jenniffer,Puerto Rico Resident Commissioner ,R ,2338 RHOB ,(202) 225-2615 
Ohio,16,Gonzalez,Anthony,Ohio 16th ,R ,2458 RHOB ,(202) 225-3876 
Texas,15,Gonzalez,Vicente,Texas 15th ,D ,113 CHOB ,(202) 225-2531 
Virginia,5,Good,Bob,Virginia 5th ,R ,1213 LHOB ,(202) 225-4711 
Texas,5,Gooden,Lance,Texas 5th ,R ,1722 LHOB ,(202) 225-3484 
Arizona,4,Gosar,Paul A.,Arizona 4th ,R ,2057 RHOB ,(202) 225-2315 
New Jersey,5,Gottheimer,Josh,New Jersey 5th ,D ,203 CHOB ,(202) 225-4465 
Texas,12,Granger,Kay,Texas 12th ,R ,1026 LHOB ,(202) 225-5071 
Louisiana,6,Graves,Garret,Louisiana 6th ,R ,2402 RHOB ,(202) 225-3901 
Missouri,6,Graves,Sam,Missouri 6th ,R ,1135 LHOB ,(202) 225-7041 
Texas,9,Green,Al,Texas 9th ,D ,2347 RHOB ,(202) 225-7508 
Tennessee,7,Green,Mark,Tennessee 7th ,R ,2446 RHOB ,(202) 225-2811 
Georgia,14,Greene,Marjorie Taylor,Georgia 14th ,R ,1023 LHOB ,(202) 225-5211 
Virginia,9,Griffith,Morgan,Virginia 9th ,R ,2202 RHOB ,(202) 225-3861 
Arizona,3,Grijalva,Raul,Arizona 3rd ,D ,1511 LHOB ,(202) 225-2435 
Wisconsin,6,Grothman,Glenn,Wisconsin 6th ,R ,1427 LHOB ,(202) 225-2476 
Mississippi,3,Guest,Michael,Mississippi 3rd ,R ,418 CHOB ,(202) 225-5031 
Kentucky,2,Guthrie,S. Brett,Kentucky 2nd ,R ,2434 RHOB ,(202) 225-3501 
Minnesota,1,Hagedorn,Jim,Minnesota 1st ,R ,1433 LHOB ,(202) 225-2472 
California,10,Harder,Josh,California 10th ,D ,209 CHOB ,(202) 225-4540 
Maryland,1,Harris,Andy,Maryland 1st ,R ,2334 RHOB ,(202) 225-5311 
Tennessee,1,Harshbarger,Diana,Tennessee 1st ,R ,167 CHOB ,(202) 225-6356 
Missouri,4,Hartzler,Vicky,Missouri 4th ,R ,2235 RHOB ,(202) 225-2876 
Florida,20,Hastings,Alcee L.,Florida 20th ,- Vacancy ,2365 RHOB ,(202) 225-1313 
Connecticut,5,Hayes,Jahana,Connecticut 5th ,D ,1415 LHOB ,(202) 225-4476 
Oklahoma,1,Hern,Kevin,Oklahoma 1st ,R ,1019 LHOB ,(202) 225-2211 
New Mexico,2,Herrell,Yvette,New Mexico 2nd ,R ,1305 LHOB ,(202) 225-2365 
Washington,3,Herrera Beutler,Jaime,Washington 3rd ,R ,2352 RHOB ,(202) 225-3536 
Georgia,10,Hice,Jody,Georgia 10th ,R ,404 CHOB ,(202) 225-4101 
New York,26,Higgins,Brian,New York 26th ,D ,2459 RHOB ,(202) 225-3306 
Louisiana,3,Higgins,Clay,Louisiana 3rd ,R ,572 CHOB ,(202) 225-2031 
Arkansas,2,Hill,French,Arkansas 2nd ,R ,1533 LHOB ,(202) 225-2506 
Connecticut,4,Himes,Jim,Connecticut 4th ,D ,2137 RHOB ,(202) 225-5541 
Iowa,1,Hinson,Ashley,Iowa 1st ,R ,1429 LHOB ,(202) 225-2911 
Indiana,9,Hollingsworth,Trey,Indiana 9th ,R ,1641 LHOB ,(202) 225-5315 
Nevada,4,Horsford,Steven,Nevada 4th ,D ,562 CHOB ,(202) 225-9894 
Pennsylvania,6,Houlahan,Chrissy,Pennsylvania 6th ,D ,1218 LHOB ,(202) 225-4315 
Maryland,5,Hoyer,Steny H.,Maryland 5th ,D ,1705 LHOB ,(202) 225-4131 
North Carolina,8,Hudson,Richard,North Carolina 8th ,R ,2112 RHOB ,(202) 225-3715 
California,2,Huffman,Jared,California 2nd ,D ,1527 LHOB ,(202) 225-5161 
Michigan,2,Huizenga,Bill,Michigan 2nd ,R ,2232 RHOB ,(202) 225-4401 
California,50,Issa,Darrell,California 50th ,R ,2300 RHOB ,(202) 225-5672 
Texas,18,Jackson Lee,Sheila,Texas 18th ,D ,2426 RHOB ,(202) 225-3816 
Texas,13,Jackson,Ronny,Texas 13th ,R ,118 CHOB ,(202) 225-3706 
New York,27,Jacobs,Chris,New York 27th ,R ,214 CHOB ,(202) 225-5265 
California,53,Jacobs,Sara,California 53rd ,D ,1232 LHOB ,(202) 225-2040 
Washington,7,Jayapal,Pramila,Washington 7th ,D ,2346 RHOB ,(202) 225-3106 
New York,8,Jeffries,Hakeem,New York 8th ,D ,2433 RHOB ,(202) 225-5936 
Ohio,6,Johnson,Bill,Ohio 6th ,R ,2336 RHOB ,(202) 225-5705 
South Dakota,At Large,Johnson,Dusty,South Dakota At Large ,R ,1714 LHOB ,(202) 225-2801 
Texas,30,Johnson,Eddie Bernice,Texas 30th ,D ,2306 RHOB ,(202) 225-8885 
Georgia,4,Johnson,"Henry C. ""Hank"" Jr.",Georgia 4th ,D ,2240 RHOB ,(202) 225-1605 
Louisiana,4,Johnson,Mike,Louisiana 4th ,R ,568 CHOB ,(202) 225-2777 
New York,17,Jones,Mondaire,New York 17th ,D ,1017 LHOB ,(202) 225-6506 
Ohio,4,Jordan,Jim,Ohio 4th ,R ,2056 RHOB ,(202) 225-2676 
Ohio,14,Joyce,David,Ohio 14th ,R ,2065 RHOB ,(202) 225-5731 
Pennsylvania,13,Joyce,John,Pennsylvania 13th ,R ,1221 LHOB ,(202) 225-2431 
Hawaii,2,Kahele,Kaiali'i,Hawaii 2nd ,D ,1205 LHOB ,(202) 225-4906 
Ohio,9,Kaptur,Marcy,Ohio 9th ,D ,2186 RHOB ,(202) 225-4146 
New York,24,Katko,John,New York 24th ,R ,2428 RHOB ,(202) 225-3701 
Massachusetts,9,Keating,William,Massachusetts 9th ,D ,2351 RHOB ,(202) 225-3111 
Pennsylvania,12,Keller,Fred,Pennsylvania 12th ,R ,1717 LHOB ,(202) 225-3731 
Pennsylvania,16,Kelly,Mike,Pennsylvania 16th ,R ,1707 LHOB ,(202) 225-5406 
Illinois,2,Kelly,Robin,Illinois 2nd ,D ,2416 RHOB ,(202) 225-0773 
Mississippi,1,Kelly,Trent,Mississippi 1st ,R ,2243 RHOB ,(202) 225-4306 
California,17,Khanna,Ro,California 17th ,D ,306 CHOB ,(202) 225-2631 
Michigan,5,Kildee,Daniel,Michigan 5th ,D ,200 CHOB ,(202) 225-3611 
Washington,6,Kilmer,Derek,Washington 6th ,D ,2059 RHOB ,(202) 225-5916 
New Jersey,3,Kim,Andy,New Jersey 3rd ,D ,2444 RHOB ,(202) 225-4765 
California,39,Kim,Young,California 39th ,R ,1306 LHOB ,(202) 225-4111 
Wisconsin,3,Kind,Ron,Wisconsin 3rd ,D ,1502 LHOB ,(202) 225-5506 
Illinois,16,Kinzinger,Adam,Illinois 16th ,R ,2245 RHOB ,(202) 225-3635 
Arizona,2,Kirkpatrick,Ann,Arizona 2nd ,D ,309 CHOB ,(202) 225-2542 
Illinois,8,Krishnamoorthi,Raja,Illinois 8th ,D ,115 CHOB ,(202) 225-3711 
New Hampshire,2,Kuster,Ann,New Hampshire 2nd ,D ,320 CHOB ,(202) 225-5206 
Tennessee,8,Kustoff,David,Tennessee 8th ,R ,560 CHOB ,(202) 225-4714 
Illinois,18,LaHood,arin,Illinois 18th ,R ,1424 LHOB ,(202) 225-6201 
California,1,LaMalfa,Doug,California 1st ,R ,408 CHOB ,(202) 225-3076 
Pennsylvania,17,Lamb,Conor,Pennsylvania 17th ,D ,1224 LHOB ,(202) 225-2301 
Colorado,5,Lamborn,Doug,Colorado 5th ,R ,2371 RHOB ,(202) 225-4422 
Rhode Island,2,Langevin,Jim,Rhode Island 2nd ,D ,2077 RHOB ,(202) 225-2735 
Washington,2,Larsen,Rick,Washington 2nd ,D ,2163 RHOB ,(202) 225-2605 
Connecticut,1,Larson,John B.,Connecticut 1st ,D ,1501 LHOB ,(202) 225-2265 
Ohio,5,Latta,Robert E.,Ohio 5th ,R ,2467 RHOB ,(202) 225-6405 
Kansas,2,LaTurner,Jake,Kansas 2nd ,R ,1630 LHOB ,(202) 225-6601 
Michigan,14,Lawrence,Brenda,Michigan 14th ,D ,2463 RHOB ,(202) 225-5802 
Florida,5,Lawson,Al,Florida 5th ,D ,2437 RHOB ,(202) 225-0123 
California,13,Lee,Barbara,California 13th ,D ,2470 RHOB ,(202) 225-2661 
Nevada,3,Lee,Susie,Nevada 3rd ,D ,365 CHOB ,(202) 225-3252 
New Mexico,3,Leger Fernandez,Teresa,New Mexico 3rd ,D ,1432 LHOB ,(202) 225-6190 
Arizona,8,Lesko,Debbie,Arizona 8th ,R ,1214 LHOB ,(202) 225-4576 
Louisiana,5,Letlow,Julia,Louisiana 5th ,R ,1408 LHOB ,(202) 225-8490 
Michigan,9,Levin,Andy,Michigan 9th ,D ,312 CHOB ,(202) 225-4961 
California,49,Levin,Mike,California 49th ,D ,1030 LHOB ,(202) 225-3906 
California,33,Lieu,Ted,California 33rd ,D ,403 CHOB ,(202) 225-3976 
California,19,Lofgren,Zoe,California 19th ,D ,1401 LHOB ,(202) 225-3072 
Missouri,7,Long,Billy,Missouri 7th ,R ,2454 RHOB ,(202) 225-6536 
Georgia,11,Loudermilk,Barry,Georgia 11th ,R ,2133 RHOB ,(202) 225-2931 
California,47,Lowenthal,Alan,California 47th ,D ,108 CHOB ,(202) 225-7924 
Oklahoma,3,Lucas,Frank,Oklahoma 3rd ,R ,2405 RHOB ,(202) 225-5565 
Missouri,3,Luetkemeyer,Blaine,Missouri 3rd ,R ,2230 RHOB ,(202) 225-2956 
Virginia,2,Luria,Elaine,Virginia 2nd ,D ,412 CHOB ,(202) 225-4215 
Massachusetts,8,Lynch,Stephen F.,Massachusetts 8th ,D ,2109 RHOB ,(202) 225-8273 
South Carolina,1,Mace,Nancy,South Carolina 1st ,R ,212 CHOB ,(202) 225-3176 
New Jersey,7,Malinowski,Tom,New Jersey 7th ,D ,1318 LHOB ,(202) 225-5361 
New York,11,Malliotakis,Nicole,New York 11th ,R ,417 CHOB ,(202) 225-3371 
New York,12,Maloney,Carolyn,New York 12th ,D ,2308 RHOB ,(202) 225-7944 
New York,18,Maloney,Sean Patrick,New York 18th ,D ,464 CHOB ,(202) 225-5441 
Kansas,1,Mann,Tracey,Kansas 1st ,R ,522 CHOB ,(202) 225-2715 
North Carolina,6,Manning,Kathy E.,North Carolina 6th ,D ,415 CHOB ,(202) 225-3065 
Kentucky,4,Massie,Thomas,Kentucky 4th ,R ,2453 RHOB ,(202) 225-3465 
Florida,18,Mast,Brian,Florida 18th ,R ,2182 RHOB ,(202) 225-3026 
California,6,Matsui,Doris O.,California 6th ,D ,2311 RHOB ,(202) 225-7163 
Georgia,6,McBath,Lucy,Georgia 6th ,D ,1513 LHOB ,(202) 225-4501 
California,23,McCarthy,Kevin,California 23rd ,R ,2468 RHOB ,(202) 225-2915 
Texas,10,McCaul,Michael T.,Texas 10th ,R ,2001 RHOB ,(202) 225-2401 
Michigan,10,McClain,Lisa C.,Michigan 10th ,R ,218 CHOB ,(202) 225-2106 
California,4,McClintock,Tom,California 4th ,R ,2312 RHOB ,(202) 225-2511 
Minnesota,4,McCollum,Betty,Minnesota 4th ,D ,2256 RHOB ,(202) 225-6631 
Virginia,4,McEachin,A. Donald,Virginia 4th ,D ,314 CHOB ,(202) 225-6365 
Massachusetts,2,McGovern,James,Massachusetts 2nd ,D ,370 CHOB ,(202) 225-6101 
North Carolina,10,McHenry,Patrick T.,North Carolina 10th ,R ,2004 RHOB ,(202) 225-2576 
West Virginia,1,McKinley,David,West Virginia 1st ,R ,2239 RHOB ,(202) 225-4172 
California,9,McNerney,Jerry,California 9th ,D ,2265 RHOB ,(202) 225-1947 
New York,5,Meeks,Gregory W.,New York 5th ,D ,2310 RHOB ,(202) 225-3461 
Michigan,3,Meijer,Peter,Michigan 3rd ,R ,1508 LHOB ,(202) 225-3831 
New York,6,Meng,Grace,New York 6th ,D ,2209 RHOB ,(202) 225-2601 
Pennsylvania,9,Meuser,Daniel,Pennsylvania 9th ,R ,414 CHOB ,(202) 225-6511 
Maryland,7,Mfume,Kweisi,Maryland 7th ,D ,2263 RHOB ,(202) 225-4741 
Iowa,2,Miller-Meeks,Mariannette,Iowa 2nd ,R ,1716 LHOB ,(202) 225-6576 
West Virginia,3,Miller,Carol,West Virginia 3rd ,R ,465 CHOB ,(202) 225-3452 
Illinois,15,Miller,Mary E.,Illinois 15th ,R ,1529 LHOB ,(202) 225-5271 
Michigan,4,Moolenaar,John,Michigan 4th ,R ,117 CHOB ,(202) 225-3561 
West Virginia,2,Mooney,Alex,West Virginia 2nd ,R ,2228 RHOB ,(202) 225-2711 
Alabama,2,Moore,Barry,Alabama 2nd ,R ,1504 LHOB ,(202) 225-2901 
Utah,1,Moore,Blake D.,Utah 1st ,R ,1320 LHOB ,(202) 225-0453 
Wisconsin,4,Moore,Gwen,Wisconsin 4th ,D ,2252 RHOB ,(202) 225-4572 
New York,25,Morelle,Joseph,New York 25th ,D ,1317 LHOB ,(202) 225-3615 
Massachusetts,6,Moulton,Seth,Massachusetts 6th ,D ,1127 LHOB ,(202) 225-8020 
Indiana,1,Mrvan,Frank J.,Indiana 1st ,D ,1607 LHOB ,(202) 225-2461 
Oklahoma,2,Mullin,Markwayne,Oklahoma 2nd ,R ,2421 RHOB ,(202) 225-2701 
North Carolina,3,Murphy,Gregory Francis,North Carolina 3rd ,R ,313 CHOB ,(202) 225-3415 
Florida,7,Murphy,Stephanie,Florida 7th ,D ,1710 LHOB ,(202) 225-4035 
New York,10,Nadler,Jerrold,New York 10th ,D ,2132 RHOB ,(202) 225-5635 
California,32,Napolitano,Grace,California 32nd ,D ,1610 LHOB ,(202) 225-5256 
